,id,name,rating,reviews,host_id,address,country,bathrooms,beds,guests,toilets,bedrooms,studios,checkin,checkout,tv,wifi,chromecast,refrigerator,kitchen,view,parking,workspace,pool,gym,no_pets,no_smoking,no_parties_or_events,house_rules_num,img_links_num,amenities_num
73,589702167810700189,Honeymoon Villa with Jacuzzi and pool Chalet,-1.0,1,226189853,"Kaş, Antalya, Turkey",Turkey,1,1,2,0,1,0, After 4 00 pm, 10 00 am,True,True,False,False,True,False,True,False,True,False,True,False,False,3,6,10
74,34599587,The Cozy Cabins by Woodscation,5.0,3,189839085,"Dharamshala, Himachal Pradesh, India",India,4,2,2,0,2,0, After 11 00 am, 10 00 am,False,False,False,True,False,False,True,False,False,False,False,False,False,3,6,10
75,29862687,"SeptemberGardenHomestay
Prince'sCabin(for couples)",5.0,11,221057563,"Lâm Đồng, Vietnam",Vietnam,1,1,2,0,1,0, After 1 00 pm, 11 00 am,True,True,False,False,True,False,True,False,False,False,False,False,False,5,6,10
76,40808568,Noina's Mystic Mountain.Hut 3,5.0,12,38726292,"Tambon Phe, Chang Wat Rayong, Thailand",Thailand,1,1,2,0,0,0,Flexible,Flexible,False,False,False,False,False,False,False,False,False,False,True,False,True,5,6,4
77,52379572,Mulberry Collection Mint Kalkan'da 4 Kişilik Villa,-1.0,0,226001465,"Kaş, Antalya, Turkey",Turkey,2,3,4,0,2,0, 4 00 pm - 12 00 am, 10 00 am,True,True,False,False,True,False,True,True,True,False,True,True,True,5,6,10
78,551795401917046353,Tiny Cottage in Bakuriani,-1.0,0,24486258,"Bakuriani, Samtskhe-Javakheti, Georgia",Georgia,1,0,5,0,0,0, After 3 00 pm,Flexible,False,False,False,False,True,False,True,True,False,False,False,True,True,6,7,10
79,54219732,Sapanca CasaMia Suit Panorama,-1.0,0,261290482,"Sapanca, Sakarya, Turkey",Turkey,1,1,2,0,1,0, After 2 00 pm, 12 00 pm,True,True,False,False,False,True,True,True,False,False,True,True,False,4,6,10
80,50499047,SAPANCA BAMBOOLOW RESORT,-1.0,1,407973734,"Sapanca, Sakarya, Turkey",Turkey,1,1,2,0,1,0, After 2 00 pm, 12 00 pm,True,True,False,False,True,True,True,True,False,False,True,False,False,6,6,10
81,51254413,Kabin Tres - Kamp Aleixo Island Glamping,5.0,4,181711994,"Cavinti, Calabarzon, Philippines",Philippines,0,2,5,0,0,0, 2 00 pm - 4 00 pm,Flexible,False,False,False,False,True,True,True,False,False,False,False,False,False,4,6,10
82,562138091801957973,Sleeps 2 with a private pool and a jacuzzi in nature,-1.0,1,445030155,"Kaş, Antalya, Turkey",Turkey,1,1,2,0,1,0, After 3 00 pm,Flexible,False,True,False,False,True,True,True,True,True,False,False,False,False,2,7,10
83,49242595,Olympos Natural full-furnished duplex cozy,-1.0,2,184198103,"Olimpos / Kumluca, Antalya, Turkey",Turkey,1,3,5,0,2,0, After 11 00 am, 1 00 pm,True,True,False,False,True,True,True,True,False,False,True,False,True,10,6,10
84,49576819,Star-studded rooms with activities in front of the pension,5.0,4,331841698,"Sowon-myeon, Taean-gun, South Chungcheong Province, South Korea",Korea South,1,0,4,0,0,0, 2 00 pm - 10 00 pm, 11 00 am,True,True,False,False,True,False,True,False,False,False,True,True,True,8,6,10
85,593801499660969808,Nirvana | A Frame Cabin,4.75,4,425671475,"Jibhi, Himachal Pradesh, India",India,1,1,2,0,1,0, 11 00 am - 2 00 pm, 11 00 am,False,True,False,False,True,True,True,True,False,False,False,False,False,4,6,10
86,51123649,HAERI • (H3) • Utsera Cabins • Racha,5.0,3,201241578,"Oni, Racha-Lechkhumi and Kvemo Svaneti, Georgia",Georgia,1,2,4,0,1,0, After 3 00 pm,Flexible,False,True,False,False,True,False,False,False,False,False,False,False,False,1,6,10
87,559878930374905218,Munic Bungalow Sapanca,-1.0,0,444580699,"Sapanca, Sakarya, Turkey",Turkey,1,3,5,0,2,0, After 3 00 pm,Flexible,True,True,False,False,True,False,True,True,True,False,True,False,False,4,6,10
88,42568790,Blue Lagoon - Art House,-1.0,2,57114677,"Cát Hải, Hải Phòng, Vietnam",Vietnam,1,1,2,0,1,0, After 2 00 pm, 12 00 pm,False,True,False,False,True,False,True,True,False,False,False,True,True,5,6,10
89,53265731,Arzni park resort,5.0,3,67519702,"Arzni, Kotayk Province, Armenia",Armenia,1,1,2,0,0,0, After 2 00 pm, 12 00 pm,True,True,False,False,False,False,True,False,False,False,False,True,False,4,6,9
90,54039900,Unique 3B R& 2tiki’s hut/tree house & with pool,-1.0,1,84885066,"Bacacay, Bicol, Philippines",Philippines,2,5,15,0,5,0,Flexible,Flexible,False,True,False,False,True,True,True,True,True,False,False,False,False,1,11,10
91,51120664,HAERI • (H1) • Utsera Cabins • Racha,5.0,3,201241578,"Oni, Racha-Lechkhumi and Kvemo Svaneti, Georgia",Georgia,1,2,4,0,1,0, After 2 00 pm, 12 00 am,False,True,False,False,True,False,True,False,False,False,False,False,False,2,6,10
92,563500410765814487,"Andifli , Üçgen Honeymoon House",-1.0,0,393650087,"Kaş, Antalya, Turkey",Turkey,1,1,2,0,1,0, After 4 00 pm, 10 00 am,True,True,False,False,True,False,True,False,True,False,True,True,False,4,6,10
93,630799913761573225,Yıldırım Loft Bungalov,-1.0,0,460001616,"Dernek, Rize, Turkey",Turkey,1,3,6,0,1,0,Flexible,Flexible,True,False,False,False,True,False,False,True,False,False,False,False,False,1,6,9
94,940055,Eco Cottage Stay,4.88,18,5080298,"Vengurla, Maharashtra, India",India,1,3,3,0,3,0, After 1 00 pm, 11 00 am,False,False,False,False,False,False,True,False,False,False,False,False,False,5,6,5
95,50294472,DREAM RIVER EXCLUSIVE BUNGALOW,-1.0,0,267547694,"Çamlıhemşin, Rize, Turkey",Turkey,1,0,6,0,2,0, After 3 00 pm, 12 00 pm,False,False,False,True,False,False,False,False,False,False,True,True,True,5,6,8
96,549090813698523430,"A-haus Villa 1
Min 2pax - Max 6pax",-1.0,2,407902794,"Cavinti, Calabarzon, Philippines",Philippines,1,5,6,0,1,0, After 2 00 pm, 12 00 pm,False,False,False,False,True,True,False,True,True,False,False,False,False,5,7,10
97,616944098140295835,Villa Hidden Paradise Garden,-1.0,0,456865839,"Muğla, Turkey",Turkey,1,4,4,0,2,0, After 3 00 pm,Flexible,True,True,False,False,False,True,True,True,True,False,False,False,False,5,8,14
98,35530234,Triangle on the rocks!,4.94,16,38772874,"Amargeti, Paphos, Cyprus",Cyprus,0,1,2,1,0,0, 3 00 pm - 7 00 pm, 12 00 pm,False,False,False,False,True,False,True,False,False,False,False,True,True,8,6,8
99,30810424,Lovely large lawn romantic lake view in front of cabin (one double bed) near Second Dormitory Sun Pavilion,4.82,11,22474324,"Zuozhen District, Tainan City, Taiwan",Taiwan,1,1,2,0,1,0, After 2 00 pm,Flexible,False,True,False,False,False,False,True,False,False,False,False,True,False,6,6,7
100,53666125,URNA Glamping Stays,-1.0,0,434597745,"Dhanachuli, Uttarakhand, India",India,1,1,2,0,1,0, Flexible,Flexible,False,True,False,False,False,True,True,False,False,False,False,False,True,3,7,10
101,615691474064530010,villa with outdoor jacuzzi with mountain views,-1.0,0,456605673,"Kemer, Antalya, Turkey",Turkey,1,3,4,0,2,0, After 3 00 pm,Flexible,True,True,False,False,True,False,True,False,False,False,False,False,False,1,6,10
102,54270247,"Kalkan'da Muhafazakar, Jakuzili Üçgen Villa",-1.0,1,386340176,"Antalya, Turkey",Turkey,2,3,4,0,2,0, After 4 00 pm, 10 00 am,True,True,False,False,True,False,True,False,True,False,True,False,False,5,6,10
103,618591377457733542,Enjoying a peaceful vacation is personal,-1.0,0,432147856,"Kaş, Antalya, Turkey",Turkey,1,1,2,0,1,0, 11 00 am - 12 00 am, 11 00 am,True,True,False,False,True,False,True,False,True,False,False,False,False,2,6,10
104,41848797,Conservative honeymoon clothy houses-2-eciralikvilla,-1.0,0,132800555,"Kaş, Antalya, Turkey",Turkey,1,1,2,0,1,0, After 3 00 pm, 10 00 am,True,True,False,False,True,False,True,False,True,False,True,True,True,5,6,10
105,37947788,Bean Homestay,-1.0,1,287691612,"Quan Lan, Quảng Ninh, Vietnam",Vietnam,1,2,4,0,1,0, 1 00 pm - 3 00 pm,Flexible,False,True,False,False,True,False,True,False,False,False,False,False,False,1,6,9
106,589086704077837440,Yaşam Bungalow,-1.0,1,300996276,"Dikkaya, Rize, Turkey",Turkey,1,3,2,0,2,0, 12 00 pm - 2 00 pm, 12 00 pm,True,True,False,False,False,False,False,False,False,False,False,False,False,2,6,7
107,54342838,Enjoy the hot tub with sea views,-1.0,0,372364399,"Kumluca, Antalya, Turkey",Turkey,1,2,4,0,2,0,Flexible,Flexible,True,True,False,False,False,False,True,False,False,False,False,False,False,1,6,10
108,50764986,Anka Bungalow,-1.0,0,15084529,"Kaş, Antalya, Turkey",Turkey,1,1,2,0,1,0, After 3 00 pm, 11 00 am,False,True,False,False,True,True,True,True,True,False,False,True,False,4,6,10
109,19627156,3 minute walk from the beach,4.92,12,30825961,"花蓮市, Taiwan",Taiwan,1,1,2,0,1,0, 1 00 pm - 9 00 pm, 11 00 am,False,False,False,False,False,True,False,False,False,False,True,True,True,9,7,10
110,53650252,A1 GlampingSingle glamping in a property where you can get away from everyday life and feel nature and sensibility at the same time,-1.0,1,331613770,"Seogwipo, Jeju Province, South Korea",Korea South,1,2,8,0,1,0, 3 00 pm - 10 00 pm, 11 00 am,True,True,False,True,False,False,True,False,False,False,False,True,True,8,6,10
